text,text_lower,lemma,lemma_lower,part_of_speech,is_alphabet,is_stopword
ASIA,asia,ASIA,asia,PROPN,True,False
AND,and,and,and,CCONJ,True,True
THE,the,the,the,DET,True,True
PACIFIC,pacific,PACIFIC,pacific,PROPN,True,False
 , , , ,SPACE,False,False
Indigenous,indigenous,Indigenous,indigenous,PROPN,True,False
Peoples,peoples,Peoples,peoples,PROPN,True,False
of,of,of,of,ADP,True,True
Asia,asia,Asia,asia,PROPN,True,False
and,and,and,and,CCONJ,True,True
the,the,the,the,DET,True,True
Pacific,pacific,Pacific,pacific,PROPN,True,False
and,and,and,and,CCONJ,True,True
the,the,the,the,DET,True,True
2008,2008,2008,2008,NUM,False,False
Human,human,Human,human,PROPN,True,False
Development,development,Development,development,PROPN,True,False
Regional,regional,Regional,regional,PROPN,True,False
Report,report,Report,report,PROPN,True,False
The,the,the,the,DET,True,True
Asia,asia,Asia,asia,PROPN,True,False
and,and,and,and,CCONJ,True,True
Pacific,pacific,Pacific,pacific,PROPN,True,False
region,region,region,region,NOUN,True,False
is,is,be,be,AUX,True,True
home,home,home,home,NOUN,True,False
to,to,to,to,ADP,True,True
several,several,several,several,ADJ,True,True
indigenous,indigenous,indigenous,indigenous,ADJ,True,False
peoples,peoples,people,people,NOUN,True,False
",",",",",",",",PUNCT,False,False
many,many,many,many,DET,True,True
of,of,of,of,ADP,True,True
whom,whom,whom,whom,PRON,True,True
experience,experience,experience,experience,VERB,True,False
extreme,extreme,extreme,extreme,ADJ,True,False
poverty,poverty,poverty,poverty,NOUN,True,False
and,and,and,and,CCONJ,True,True
marginalization,marginalization,marginalization,marginalization,NOUN,True,False
.,.,.,.,PUNCT,False,False
Areas,areas,area,area,NOUN,True,False
populated,populated,populate,populate,VERB,True,False
with,with,with,with,ADP,True,True
indigenous,indigenous,indigenous,indigenous,ADJ,True,False
peoples,peoples,people,people,NOUN,True,False
are,are,be,be,AUX,True,True
often,often,often,often,ADV,True,True
the,the,the,the,DET,True,True
remotest,remotest,remote,remote,ADJ,True,False
and,and,and,and,CCONJ,True,True
least,least,least,least,ADJ,True,True
developed,developed,develop,develop,VERB,True,False
in,in,in,in,ADP,True,True
the,the,the,the,DET,True,True
region,region,region,region,NOUN,True,False
",",",",",",",",PUNCT,False,False
with,with,with,with,ADP,True,True
inadequate,inadequate,inadequate,inadequate,ADJ,True,False
access,access,access,access,NOUN,True,False
to,to,to,to,ADP,True,True
goods,goods,good,good,NOUN,True,False
and,and,and,and,CCONJ,True,True
services,services,service,service,NOUN,True,False
for,for,for,for,ADP,True,True
sustainable,sustainable,sustainable,sustainable,ADJ,True,False
living,living,living,living,NOUN,True,False
.,.,.,.,PUNCT,False,False
Indigenous,indigenous,indigenous,indigenous,ADJ,True,False
peoples,peoples,people,people,NOUN,True,False
also,also,also,also,ADV,True,True
suffer,suffer,suffer,suffer,VERB,True,False
from,from,from,from,ADP,True,True
all,all,all,all,DET,True,True
forms,forms,form,form,NOUN,True,False
of,of,of,of,ADP,True,True
discrimination,discrimination,discrimination,discrimination,NOUN,True,False
and,and,and,and,CCONJ,True,True
human,human,human,human,ADJ,True,False
rights,rights,right,right,NOUN,True,False
abuses,abuses,abuse,abuse,NOUN,True,False
",",",",",",",",PUNCT,False,False
and,and,and,and,CCONJ,True,True
many,many,many,many,ADJ,True,True
groups,groups,group,group,NOUN,True,False
are,are,be,be,AUX,True,True
not,not,not,not,PART,True,True
officially,officially,officially,officially,ADV,True,False
recognized,recognized,recognize,recognize,VERB,True,False
by,by,by,by,ADP,True,True
their,their,-PRON-,-pron-,PRON,True,True
respective,respective,respective,respective,ADJ,True,False
governments,governments,government,government,NOUN,True,False
.,.,.,.,PUNCT,False,False
Land,land,land,land,NOUN,True,False
rights,rights,right,right,NOUN,True,False
issues,issues,issue,issue,NOUN,True,False
remain,remain,remain,remain,VERB,True,False
one,one,one,one,NUM,True,True
of,of,of,of,ADP,True,True
the,the,the,the,DET,True,True
biggest,biggest,big,big,ADJ,True,False
concerns,concerns,concern,concern,NOUN,True,False
for,for,for,for,ADP,True,True
indigenous,indigenous,indigenous,indigenous,ADJ,True,False
peoples,peoples,people,people,NOUN,True,False
across,across,across,across,ADP,True,True
the,the,the,the,DET,True,True
region.5,region.5,region.5,region.5,PROPN,False,False
  ,  ,  ,  ,SPACE,False,False
The,the,the,the,DET,True,True
2008,2008,2008,2008,NUM,False,False
Human,human,Human,human,PROPN,True,False
Development,development,Development,development,PROPN,True,False
Regional,regional,Regional,regional,PROPN,True,False
Report,report,Report,report,PROPN,True,False
from,from,from,from,ADP,True,True
Asia,asia,Asia,asia,PROPN,True,False
Pacific,pacific,Pacific,pacific,PROPN,True,False
focuses,focuses,focus,focus,VERB,True,False
on,on,on,on,ADP,True,True
the,the,the,the,DET,True,True
issue,issue,issue,issue,NOUN,True,False
of,of,of,of,ADP,True,True
corruption,corruption,corruption,corruption,NOUN,True,False
and,and,and,and,CCONJ,True,True
its,its,-PRON-,-pron-,PRON,True,True
impact,impact,impact,impact,NOUN,True,False
on,on,on,on,ADP,True,True
human,human,human,human,NOUN,True,False
development.6,development.6,development.6,development.6,PROPN,False,False
The,the,the,the,DET,True,True
Report,report,Report,report,PROPN,True,False
is,is,be,be,AUX,True,True
broad,broad,broad,broad,ADV,True,False
-,-,-,-,PUNCT,False,False
based,based,base,base,VERB,True,False
",",",",",",",",PUNCT,False,False
encompassing,encompassing,encompass,encompass,VERB,True,False
many,many,many,many,ADJ,True,True
sectors,sectors,sector,sector,NOUN,True,False
",",",",",",",",PUNCT,False,False
particularly,particularly,particularly,particularly,ADV,True,False
the,the,the,the,DET,True,True
political,political,political,political,ADJ,True,False
and,and,and,and,CCONJ,True,True
judicial,judicial,judicial,judicial,ADJ,True,False
sectors,sectors,sector,sector,NOUN,True,False
.,.,.,.,PUNCT,False,False
It,it,-PRON-,-pron-,PRON,True,True
provides,provides,provide,provide,VERB,True,False
very,very,very,very,ADV,True,True
little,little,little,little,ADJ,True,False
disaggregated,disaggregated,disaggregated,disaggregated,ADJ,True,False
data,data,datum,datum,NOUN,True,False
",",",",",",",",PUNCT,False,False
and,and,and,and,CCONJ,True,True
instead,instead,instead,instead,ADV,True,False
cites,cites,cite,cite,VERB,True,False
specific,specific,specific,specific,ADJ,True,False
examples,examples,example,example,NOUN,True,False
of,of,of,of,ADP,True,True
corruption,corruption,corruption,corruption,NOUN,True,False
",",",",",",",",PUNCT,False,False
including,including,include,include,VERB,True,False
