text,text_lower,lemma,lemma_lower,part_of_speech,is_alphabet,is_stopword
 , , , ,SPACE,False,False
GHANA,ghana,GHANA,ghana,PROPN,True,False
 , , , ,SPACE,False,False
Indigenous,indigenous,Indigenous,indigenous,PROPN,True,False
Peoples,peoples,Peoples,peoples,PROPN,True,False
and,and,and,and,CCONJ,True,True
the,the,the,the,DET,True,True
2007,2007,2007,2007,NUM,False,False
Human,human,Human,human,PROPN,True,False
Development,development,Development,development,PROPN,True,False
Report,report,Report,report,PROPN,True,False
According,according,accord,accord,VERB,True,False
to,to,to,to,ADP,True,True
the,the,the,the,DET,True,True
2007,2007,2007,2007,NUM,False,False
Human,human,Human,human,PROPN,True,False
Development,development,Development,development,PROPN,True,False
Report,report,Report,report,PROPN,True,False
from,from,from,from,ADP,True,True
Ghana,ghana,Ghana,ghana,PROPN,True,False
",",",",",",",",PUNCT,False,False
the,the,the,the,DET,True,True
Ghanaian,ghanaian,ghanaian,ghanaian,ADJ,True,False
society,society,society,society,NOUN,True,False
comprises,comprises,comprise,comprise,VERB,True,False
five,five,five,five,NUM,True,True
major,major,major,major,ADJ,True,False
ethnic,ethnic,ethnic,ethnic,ADJ,True,False
groups,groups,group,group,NOUN,True,False
:,:,:,:,PUNCT,False,False
the,the,the,the,DET,True,True
Akan,akan,Akan,akan,PROPN,True,False
(,(,(,(,PUNCT,False,False
49.1,49.1,49.1,49.1,NUM,False,False
%,%,%,%,NOUN,False,False
),),),),PUNCT,False,False
",",",",",",",",PUNCT,False,False
the,the,the,the,DET,True,True
Ewe,ewe,Ewe,ewe,PROPN,True,False
(,(,(,(,PUNCT,False,False
12.7,12.7,12.7,12.7,NUM,False,False
%,%,%,%,NOUN,False,False
),),),),PUNCT,False,False
",",",",",",",",PUNCT,False,False
Mole,mole,Mole,mole,PROPN,True,False
Dagbani,dagbani,Dagbani,dagbani,PROPN,True,False
(,(,(,(,PUNCT,False,False
16.5,16.5,16.5,16.5,NUM,False,False
%,%,%,%,NOUN,False,False
),),),),PUNCT,False,False
",",",",",",",",PUNCT,False,False
the,the,the,the,DET,True,True
Guan,guan,Guan,guan,PROPN,True,False
",",",",",",",",PUNCT,False,False
and,and,and,and,CCONJ,True,True
the,the,the,the,DET,True,True
Ga,ga,Ga,ga,PROPN,True,False
-,-,-,-,PUNCT,False,False
Adangbe,adangbe,Adangbe,adangbe,PROPN,True,False
(,(,(,(,PUNCT,False,False
8.0,8.0,8.0,8.0,NUM,False,False
%,%,%,%,NOUN,False,False
),),),),PUNCT,False,False
",",",",",",",",PUNCT,False,False
as,as,as,as,ADV,True,True
well,well,well,well,ADV,True,True
as,as,as,as,SCONJ,True,True
an,an,an,an,DET,True,True
estimated,estimated,estimate,estimate,VERB,True,False
63,63,63,63,NUM,False,False
other,other,other,other,ADJ,True,True
separate,separate,separate,separate,ADJ,True,False
ethnic,ethnic,ethnic,ethnic,NOUN,True,False
groups.17,groups.17,groups.17,groups.17,PUNCT,False,False
The,the,the,the,DET,True,True
five,five,five,five,NUM,True,True
major,major,major,major,ADJ,True,False
ethnic,ethnic,ethnic,ethnic,ADJ,True,False
groups,groups,group,group,NOUN,True,False
are,are,be,be,AUX,True,True
further,further,further,further,ADV,True,True
divided,divided,divide,divide,VERB,True,False
into,into,into,into,ADP,True,True
several,several,several,several,ADJ,True,True
smaller,smaller,small,small,ADJ,True,False
groups,groups,group,group,NOUN,True,False
.,.,.,.,PUNCT,False,False
These,these,these,these,DET,True,True
various,various,various,various,ADJ,True,True
subdivisions,subdivisions,subdivision,subdivision,NOUN,True,False
as,as,as,as,ADV,True,True
well,well,well,well,ADV,True,True
as,as,as,as,SCONJ,True,True
their,their,-PRON-,-pron-,PRON,True,True
geographic,geographic,geographic,geographic,ADJ,True,False
distribution,distribution,distribution,distribution,NOUN,True,False
ﬁmake,ﬁmake,ﬁmake,ﬁmake,NOUN,True,False
understanding,understanding,understand,understand,VERB,True,False
the,the,the,the,DET,True,True
intricacies,intricacies,intricacy,intricacy,NOUN,True,False
of,of,of,of,ADP,True,True
ethnicity,ethnicity,ethnicity,ethnicity,NOUN,True,False
in,in,in,in,ADP,True,True
Ghana,ghana,Ghana,ghana,PROPN,True,False
a,a,a,a,DET,True,True
complex,complex,complex,complex,ADJ,True,False
affair.ﬂ18,affair.ﬂ18,affair.ﬂ18,affair.ﬂ18,X,False,False
Among,among,among,among,ADP,True,True
the,the,the,the,DET,True,True
ethnic,ethnic,ethnic,ethnic,ADJ,True,False
minorities,minorities,minority,minority,NOUN,True,False
who,who,who,who,PRON,True,True
may,may,may,may,AUX,True,True
be,be,be,be,AUX,True,True
recognized,recognized,recognize,recognize,VERB,True,False
as,as,as,as,SCONJ,True,True
indigenous,indigenous,indigenous,indigenous,ADJ,True,False
are,are,be,be,AUX,True,True
the,the,the,the,DET,True,True
Kassena,kassena,Kassena,kassena,PROPN,True,False
people,people,people,people,NOUN,True,False
in,in,in,in,ADP,True,True
northern,northern,northern,northern,ADJ,True,False
Ghana.19,ghana.19,Ghana.19,ghana.19,PROPN,False,False
Numbering,numbering,number,number,VERB,True,False
about,about,about,about,ADV,True,True
"30,000","30,000","30,000","30,000",NUM,False,False
",",",",",",",",PUNCT,False,False
they,they,-PRON-,-pron-,PRON,True,True
are,are,be,be,AUX,True,True
a,a,a,a,DET,True,True
subset,subset,subset,subset,NOUN,True,False
of,of,of,of,ADP,True,True
the,the,the,the,DET,True,True
Gurunsi,gurunsi,Gurunsi,gurunsi,PROPN,True,False
who,who,who,who,PRON,True,True
inhabit,inhabit,inhabit,inhabit,VERB,True,False
the,the,the,the,DET,True,True
areas,areas,area,area,NOUN,True,False
of,of,of,of,ADP,True,True
southern,southern,southern,southern,ADJ,True,False
Burkina,burkina,Burkina,burkina,PROPN,True,False
Faso,faso,Faso,faso,PROPN,True,False
and,and,and,and,CCONJ,True,True
northern,northern,northern,northern,ADJ,True,False
Ghana,ghana,Ghana,ghana,PROPN,True,False
.,.,.,.,PUNCT,False,False
The,the,the,the,DET,True,True
majority,majority,majority,majority,NOUN,True,False
of,of,of,of,ADP,True,True
Kassena,kassena,Kassena,kassena,PROPN,True,False
people,people,people,people,NOUN,True,False
practice,practice,practice,practice,VERB,True,False
sedentary,sedentary,sedentary,sedentary,ADJ,True,False
farming,farming,farming,farming,NOUN,True,False
.,.,.,.,PUNCT,False,False
 , , , ,SPACE,False,False
The,the,the,the,DET,True,True
Ghana,ghana,Ghana,ghana,PROPN,True,False
HDR,hdr,HDR,hdr,PROPN,True,False
