text,text_lower,lemma,lemma_lower,part_of_speech,is_alphabet,is_stopword
KENYA,kenya,KENYA,kenya,PROPN,True,False
 , , , ,SPACE,False,False
Indigenous,indigenous,Indigenous,indigenous,PROPN,True,False
Peoples,peoples,Peoples,peoples,PROPN,True,False
and,and,and,and,CCONJ,True,True
the,the,the,the,DET,True,True
2006,2006,2006,2006,NUM,False,False
Human,human,Human,human,PROPN,True,False
Development,development,Development,development,PROPN,True,False
Report,report,Report,report,PROPN,True,False
Indigenous,indigenous,indigenous,indigenous,ADJ,True,False
peoples,peoples,people,people,NOUN,True,False
of,of,of,of,ADP,True,True
Kenya,kenya,Kenya,kenya,PROPN,True,False
include,include,include,include,VERB,True,False
the,the,the,the,DET,True,True
Awer,awer,Awer,awer,PROPN,True,False
",",",",",",",",PUNCT,False,False
Boni,boni,Boni,boni,PROPN,True,False
",",",",",",",",PUNCT,False,False
Borana,borana,Borana,borana,PROPN,True,False
",",",",",",",",PUNCT,False,False
Burgi,burgi,Burgi,burgi,PROPN,True,False
",",",",",",",",PUNCT,False,False
Elmolo,elmolo,Elmolo,elmolo,PROPN,True,False
",",",",",",",",PUNCT,False,False
Endorois,endorois,Endorois,endorois,PROPN,True,False
",",",",",",",",PUNCT,False,False
Ilchamus,ilchamus,Ilchamus,ilchamus,PROPN,True,False
",",",",",",",",PUNCT,False,False
Gaaljecel,gaaljecel,Gaaljecel,gaaljecel,PROPN,True,False
",",",",",",",",PUNCT,False,False
Gabra,gabra,Gabra,gabra,PROPN,True,False
",",",",",",",",PUNCT,False,False
Maasai,maasai,Maasai,maasai,PROPN,True,False
",",",",",",",",PUNCT,False,False
Malakote,malakote,Malakote,malakote,PROPN,True,False
",",",",",",",",PUNCT,False,False
Munyayaya,munyayaya,Munyayaya,munyayaya,PROPN,True,False
",",",",",",",",PUNCT,False,False
Ogiek,ogiek,Ogiek,ogiek,PROPN,True,False
",",",",",",",",PUNCT,False,False
Orma,orma,Orma,orma,PROPN,True,False
",",",",",",",",PUNCT,False,False
Pokot,pokot,Pokot,pokot,PROPN,True,False
",",",",",",",",PUNCT,False,False
Rendille,rendille,Rendille,rendille,PROPN,True,False
",",",",",",",",PUNCT,False,False
Sabaot,sabaot,Sabaot,sabaot,PROPN,True,False
",",",",",",",",PUNCT,False,False
Sakuye,sakuye,Sakuye,sakuye,PROPN,True,False
",",",",",",",",PUNCT,False,False
Samburu,samburu,Samburu,samburu,PROPN,True,False
",",",",",",",",PUNCT,False,False
Sengwer,sengwer,Sengwer,sengwer,PROPN,True,False
",",",",",",",",PUNCT,False,False
Somali,somali,Somali,somali,PROPN,True,False
",",",",",",",",PUNCT,False,False
Talai,talai,Talai,talai,PROPN,True,False
",",",",",",",",PUNCT,False,False
Turkana,turkana,Turkana,turkana,PROPN,True,False
",",",",",",",",PUNCT,False,False
Watta,watta,Watta,watta,PROPN,True,False
",",",",",",",",PUNCT,False,False
and,and,and,and,CCONJ,True,True
Yakuu.21,yakuu.21,yakuu.21,yakuu.21,NOUN,False,False
Many,many,many,many,ADJ,True,True
are,are,be,be,AUX,True,True
pastoralists,pastoralists,pastoralist,pastoralist,NOUN,True,False
who,who,who,who,PRON,True,True
inhabit,inhabit,inhabit,inhabit,VERB,True,False
the,the,the,the,DET,True,True
arid,arid,arid,arid,ADJ,True,False
and,and,and,and,CCONJ,True,True
semi,semi,semi,semi,ADJ,True,False
-,-,-,-,ADJ,False,False
arid,arid,arid,arid,ADJ,True,False
lands,lands,land,land,NOUN,True,False
(,(,(,(,PUNCT,False,False
ASALs,asals,ASALs,asals,PROPN,True,False
),),),),PUNCT,False,False
that,that,that,that,PRON,True,True
make,make,make,make,VERB,True,True
up,up,up,up,ADP,True,True
more,more,more,more,ADJ,True,True
than,than,than,than,SCONJ,True,True
80,80,80,80,NUM,False,False
percent,percent,percent,percent,NOUN,True,False
of,of,of,of,ADP,True,True
Kenya,kenya,Kenya,kenya,PROPN,True,False
™,™,™,™,PROPN,False,False
s,s,s,s,PART,True,False
landmass,landmass,landmass,landmass,NOUN,True,False
and,and,and,and,CCONJ,True,True
are,are,be,be,AUX,True,True
home,home,home,home,NOUN,True,False
to,to,to,to,ADP,True,True
25,25,25,25,NUM,False,False
percent,percent,percent,percent,NOUN,True,False
of,of,of,of,ADP,True,True
the,the,the,the,DET,True,True
national,national,national,national,NOUN,True,False
population.22,population.22,population.22,population.22,X,False,False
Some,some,some,some,DET,True,True
practice,practice,practice,practice,NOUN,True,False
small,small,small,small,ADJ,True,False
-,-,-,-,PUNCT,False,False
scale,scale,scale,scale,NOUN,True,False
agriculture,agriculture,agriculture,agriculture,NOUN,True,False
",",",",",",",",PUNCT,False,False
and,and,and,and,CCONJ,True,True
small,small,small,small,ADJ,True,False
pockets,pockets,pocket,pocket,NOUN,True,False
of,of,of,of,ADP,True,True
hunter,hunter,hunter,hunter,NOUN,True,False
-,-,-,-,PUNCT,False,False
gatherer,gatherer,gatherer,gatherer,NOUN,True,False
communities,communities,community,community,NOUN,True,False
subsist,subsist,subsist,subsist,VERB,True,False
in,in,in,in,ADP,True,True
forested,forested,forest,forest,VERB,True,False
areas.23,areas.23,areas.23,areas.23,PUNCT,False,False
The,the,the,the,DET,True,True
2006,2006,2006,2006,NUM,False,False
Human,human,Human,human,PROPN,True,False
Development,development,Development,development,PROPN,True,False
Report,report,Report,report,PROPN,True,False
from,from,from,from,ADP,True,True
Kenya,kenya,Kenya,kenya,PROPN,True,False
does,does,do,do,AUX,True,True
not,not,not,not,PART,True,True
explicitly,explicitly,explicitly,explicitly,ADV,True,False
mention,mention,mention,mention,VERB,True,False
or,or,or,or,CCONJ,True,True
present,present,present,present,ADJ,True,False
disaggregated,disaggregated,disaggregated,disaggregated,ADJ,True,False
data,data,datum,datum,NOUN,True,False
on,on,on,on,ADP,True,True
indigenous,indigenous,indigenous,indigenous,ADJ,True,False
peoples,peoples,people,people,NOUN,True,False
",",",",",",",",PUNCT,False,False
despite,despite,despite,despite,SCONJ,True,False
the,the,the,the,DET,True,True
fact,fact,fact,fact,NOUN,True,False
that,that,that,that,SCONJ,True,True
ASALs,asals,ASALs,asals,PROPN,True,False
have,have,have,have,AUX,True,True
the,the,the,the,DET,True,True
highest,highest,high,high,ADJ,True,False
levels,levels,level,level,NOUN,True,False
of,of,of,of,ADP,True,True
food,food,food,food,NOUN,True,False
poverty,poverty,poverty,poverty,NOUN,True,False
in,in,in,in,ADP,True,True
Kenya,kenya,Kenya,kenya,PROPN,True,False
due,due,due,due,ADJ,True,True
to,to,to,to,ADP,True,True
persistent,persistent,persistent,persistent,ADJ,True,False
droughts,droughts,drought,drought,NOUN,True,False
",",",",",",",",PUNCT,False,False
and,and,and,and,CCONJ,True,True
people,people,people,people,NOUN,True,False
occupying,occupying,occupy,occupy,VERB,True,False
these,these,these,these,DET,True,True
areas,areas,area,area,NOUN,True,False
have,have,have,have,AUX,True,True
the,the,the,the,DET,True,True
lowest,lowest,low,low,ADJ,True,False
access,access,access,access,NOUN,True,False
to,to,to,to,ADP,True,True
health,health,health,health,NOUN,True,False
and,and,and,and,CCONJ,True,True
social,social,social,social,ADJ,True,False
services.24,services.24,services.24,services.24,PUNCT,False,False
For,for,for,for,ADP,True,True
example,example,example,example,NOUN,True,False
",",",",",",",",PUNCT,False,False
the,the,the,the,DET,True,True
three,three,three,three,NUM,True,True
districts,districts,district,district,NOUN,True,False
with,with,with,with,ADP,True,True
the,the,the,the,DET,True,True
