text,text_lower,lemma,lemma_lower,part_of_speech,is_alphabet,is_stopword
NIGERIA,nigeria,NIGERIA,nigeria,PROPN,True,False
 , , , ,SPACE,False,False
Indigenous,indigenous,Indigenous,indigenous,PROPN,True,False
Peoples,peoples,Peoples,peoples,PROPN,True,False
of,of,of,of,ADP,True,True
Nigeria,nigeria,Nigeria,nigeria,PROPN,True,False
and,and,and,and,CCONJ,True,True
the,the,the,the,DET,True,True
2006,2006,2006,2006,NUM,False,False
Human,human,Human,human,PROPN,True,False
Development,development,Development,development,PROPN,True,False
Report,report,Report,report,PROPN,True,False
The,the,the,the,DET,True,True
indigenous,indigenous,indigenous,indigenous,ADJ,True,False
peoples,peoples,people,people,NOUN,True,False
of,of,of,of,ADP,True,True
Nigeria,nigeria,Nigeria,nigeria,PROPN,True,False
include,include,include,include,VERB,True,False
the,the,the,the,DET,True,True
Mbororo,mbororo,Mbororo,mbororo,PROPN,True,False
(,(,(,(,PUNCT,False,False
also,also,also,also,ADV,True,True
known,known,know,know,VERB,True,False
as,as,as,as,SCONJ,True,True
the,the,the,the,DET,True,True
Fulanis,fulanis,Fulanis,fulanis,PROPN,True,False
or,or,or,or,CCONJ,True,True
Peul,peul,Peul,peul,PROPN,True,False
),),),),PUNCT,False,False
",",",",",",",",PUNCT,False,False
a,a,a,a,DET,True,True
large,large,large,large,ADJ,True,False
group,group,group,group,NOUN,True,False
that,that,that,that,PRON,True,True
occupy,occupy,occupy,occupy,VERB,True,False
a,a,a,a,DET,True,True
number,number,number,number,NOUN,True,False
of,of,of,of,ADP,True,True
countries,countries,country,country,NOUN,True,False
in,in,in,in,ADP,True,True
Central,central,Central,central,PROPN,True,False
and,and,and,and,CCONJ,True,True
West,west,West,west,PROPN,True,False
Africa,africa,Africa,africa,PROPN,True,False
",",",",",",",",PUNCT,False,False
and,and,and,and,CCONJ,True,True
the,the,the,the,DET,True,True
Ogoni,ogoni,Ogoni,ogoni,PROPN,True,False
",",",",",",",",PUNCT,False,False
who,who,who,who,PRON,True,True
inhabit,inhabit,inhabit,inhabit,VERB,True,False
the,the,the,the,DET,True,True
southeastern,southeastern,southeastern,southeastern,ADJ,True,False
region,region,region,region,NOUN,True,False
of,of,of,of,ADP,True,True
NigeriaŠan,nigeriašan,NigeriaŠan,nigeriašan,PROPN,True,False
area,area,area,area,NOUN,True,False
known,known,know,know,VERB,True,False
as,as,as,as,SCONJ,True,True
Ogoniland,ogoniland,Ogoniland,ogoniland,PROPN,True,False
and,and,and,and,CCONJ,True,True
located,located,locate,locate,VERB,True,False
in,in,in,in,ADP,True,True
the,the,the,the,DET,True,True
northeast,northeast,northeast,northeast,ADJ,True,False
plain,plain,plain,plain,ADJ,True,False
terraces,terraces,terrace,terrace,NOUN,True,False
of,of,of,of,ADP,True,True
the,the,the,the,DET,True,True
Niger,niger,Niger,niger,PROPN,True,False
Delta,delta,Delta,delta,PROPN,True,False
in,in,in,in,ADP,True,True
Rivers,rivers,Rivers,rivers,PROPN,True,False
State.25,state.25,State.25,state.25,PUNCT,False,False
The,the,the,the,DET,True,True
Ogoni,ogoni,Ogoni,ogoni,PROPN,True,False
people,people,people,people,NOUN,True,False
occupied,occupied,occupy,occupy,VERB,True,False
this,this,this,this,DET,True,True
area,area,area,area,NOUN,True,False
for,for,for,for,ADP,True,True
nearly,nearly,nearly,nearly,ADV,True,False
a,a,a,a,DET,True,True
thousand,thousand,thousand,thousand,NUM,True,False
years,years,year,year,NOUN,True,False
before,before,before,before,ADP,True,True
the,the,the,the,DET,True,True
British,british,British,british,PROPN,True,False
came,came,come,come,VERB,True,False
in,in,in,in,ADP,True,True
1861,1861,1861,1861,NUM,False,False
