text,text_lower,lemma,lemma_lower,part_of_speech,is_alphabet,is_stopword
RUSSIAN,russian,RUSSIAN,russian,PROPN,True,False
FEDERATION,federation,FEDERATION,federation,PROPN,True,False
 , , , ,SPACE,False,False
Indigenous,indigenous,Indigenous,indigenous,PROPN,True,False
Peoples,peoples,Peoples,peoples,PROPN,True,False
of,of,of,of,ADP,True,True
Russia,russia,Russia,russia,PROPN,True,False
and,and,and,and,CCONJ,True,True
the,the,the,the,DET,True,True
2006/2007,2006/2007,2006/2007,2006/2007,NUM,False,False
Human,human,Human,human,PROPN,True,False
Development,development,Development,development,PROPN,True,False
Report,report,Report,report,PROPN,True,False
Officially,officially,officially,officially,ADV,True,False
recognized,recognized,recognize,recognize,VERB,True,False
indigenous,indigenous,indigenous,indigenous,ADJ,True,False
peoples,peoples,people,people,NOUN,True,False
in,in,in,in,ADP,True,True
the,the,the,the,DET,True,True
Russian,russian,Russian,russian,PROPN,True,False
Federation,federation,Federation,federation,PROPN,True,False
are,are,be,be,AUX,True,True
referred,referred,refer,refer,VERB,True,False
to,to,to,to,ADP,True,True
as,as,as,as,SCONJ,True,True
ﬁnumerically,ﬁnumerically,ﬁnumerically,ﬁnumerically,ADV,True,False
small,small,small,small,ADJ,True,False
indigenous,indigenous,indigenous,indigenous,ADJ,True,False
peoples,peoples,people,people,NOUN,True,False
of,of,of,of,ADP,True,True
the,the,the,the,DET,True,True
North,north,North,north,PROPN,True,False
",",",",",",",",PUNCT,False,False
Siberia,siberia,Siberia,siberia,PROPN,True,False
",",",",",",",",PUNCT,False,False
and,and,and,and,CCONJ,True,True
the,the,the,the,DET,True,True
Far,far,Far,far,PROPN,True,False
East.ﬂ33,east.ﬂ33,East.ﬂ33,east.ﬂ33,PROPN,False,False
To,to,to,to,ADP,True,True
date,date,date,date,NOUN,True,False
",",",",",",",",PUNCT,False,False
there,there,there,there,PRON,True,True
are,are,be,be,AUX,True,True
44,44,44,44,NUM,False,False
recognized,recognized,recognize,recognize,VERB,True,False
groups,groups,group,group,NOUN,True,False
in,in,in,in,ADP,True,True
Russia,russia,Russia,russia,PROPN,True,False
",",",",",",",",PUNCT,False,False
numbering,numbering,number,number,VERB,True,False
around,around,around,around,ADP,True,True
"250,000","250,000","250,000","250,000",NUM,False,False
individuals,individuals,individual,individual,NOUN,True,False
.,.,.,.,PUNCT,False,False
Group,group,group,group,NOUN,True,False
sizes,sizes,size,size,NOUN,True,False
range,range,range,range,VERB,True,False
from,from,from,from,ADP,True,True
35,35,35,35,NUM,False,False
-,-,-,-,SYM,False,False
45,45,45,45,NUM,False,False
thousand,thousand,thousand,thousand,NUM,True,False
individuals,individuals,individual,individual,NOUN,True,False
in,in,in,in,ADP,True,True
the,the,the,the,DET,True,True
larger,larger,large,large,ADJ,True,False
groups,groups,group,group,NOUN,True,False
",",",",",",",",PUNCT,False,False
such,such,such,such,ADJ,True,True
as,as,as,as,SCONJ,True,True
the,the,the,the,DET,True,True
Evenk,evenk,Evenk,evenk,PROPN,True,False
and,and,and,and,CCONJ,True,True
Nenets,nenets,Nenets,nenets,PROPN,True,False
",",",",",",",",PUNCT,False,False
to,to,to,to,ADP,True,True
a,a,a,a,DET,True,True
few,few,few,few,ADJ,True,True
dozen,dozen,dozen,dozen,NOUN,True,False
or,or,or,or,CCONJ,True,True
few,few,few,few,ADJ,True,True
hundred,hundred,hundred,hundred,NUM,True,True
individuals,individuals,individual,individual,NOUN,True,False
in,in,in,in,ADP,True,True
the,the,the,the,DET,True,True
smaller,smaller,small,small,ADJ,True,False
groups,groups,group,group,NOUN,True,False
",",",",",",",",PUNCT,False,False
such,such,such,such,ADJ,True,True
as,as,as,as,SCONJ,True,True
the,the,the,the,DET,True,True
Enets,enets,Enets,enets,PROPN,True,False
and,and,and,and,CCONJ,True,True
Orok,orok,Orok,orok,PROPN,True,False
.,.,.,.,PUNCT,False,False
The,the,the,the,DET,True,True
cultural,cultural,cultural,cultural,ADJ,True,False
",",",",",",",",PUNCT,False,False
territorial,territorial,territorial,territorial,ADJ,True,False
",",",",",",",",PUNCT,False,False
and,and,and,and,CCONJ,True,True
political,political,political,political,ADJ,True,False
rights,rights,right,right,NOUN,True,False
of,of,of,of,ADP,True,True
indigenous,indigenous,indigenous,indigenous,ADJ,True,False
peoples,peoples,people,people,NOUN,True,False
are,are,be,be,AUX,True,True
protected,protected,protect,protect,VERB,True,False
under,under,under,under,ADP,True,True
the,the,the,the,DET,True,True
Russian,russian,Russian,russian,PROPN,True,False
Constitution,constitution,Constitution,constitution,PROPN,True,False
and,and,and,and,CCONJ,True,True
national,national,national,national,ADJ,True,False
legislation.34,legislation.34,legislation.34,legislation.34,ADP,False,False
 , , , ,SPACE,False,False
The,the,the,the,DET,True,True
2006/2007,2006/2007,2006/2007,2006/2007,NUM,False,False
Human,human,Human,human,PROPN,True,False
Development,development,Development,development,PROPN,True,False
Report,report,Report,report,PROPN,True,False
from,from,from,from,ADP,True,True
Russia,russia,Russia,russia,PROPN,True,False
focuses,focuses,focus,focus,VERB,True,False
on,on,on,on,ADP,True,True
the,the,the,the,DET,True,True
country,country,country,country,NOUN,True,False
™,™,™,™,PROPN,False,False
s,s,s,s,NOUN,True,False
human,human,human,human,ADJ,True,False
development,development,development,development,NOUN,True,False
goals,goals,goal,goal,NOUN,True,False
",",",",",",",",PUNCT,False,False
challenges,challenges,challenge,challenge,NOUN,True,False
",",",",",",",",PUNCT,False,False
and,and,and,and,CCONJ,True,True
achievements,achievements,achievement,achievement,NOUN,True,False
at,at,at,at,ADP,True,True
the,the,the,the,DET,True,True
regional,regional,regional,regional,ADJ,True,False
level.35,level.35,level.35,level.35,PUNCT,False,False
The,the,the,the,DET,True,True
scope,scope,scope,scope,NOUN,True,False
of,of,of,of,ADP,True,True
the,the,the,the,DET,True,True
Report,report,Report,report,PROPN,True,False
is,is,be,be,AUX,True,True
very,very,very,very,ADV,True,True
extensive,extensive,extensive,extensive,ADJ,True,False
due,due,due,due,ADP,True,True
to,to,to,to,ADP,True,True
the,the,the,the,DET,True,True
enormous,enormous,enormous,enormous,ADJ,True,False
size,size,size,size,NOUN,True,False
of,of,of,of,ADP,True,True
the,the,the,the,DET,True,True
Russian,russian,Russian,russian,PROPN,True,False
Federation,federation,Federation,federation,PROPN,True,False
",",",",",",",",PUNCT,False,False
with,with,with,with,ADP,True,True
all,all,all,all,DET,True,True
its,its,-PRON-,-pron-,PRON,True,True
republics,republics,republic,republic,NOUN,True,False
and,and,and,and,CCONJ,True,True
autonomous,autonomous,autonomous,autonomous,ADJ,True,False
nations,nations,nation,nation,NOUN,True,False
.,.,.,.,PUNCT,False,False
It,it,-PRON-,-pron-,PRON,True,True
does,does,do,do,AUX,True,True
not,not,not,not,PART,True,True
specifically,specifically,specifically,specifically,ADV,True,False
mention,mention,mention,mention,VERB,True,False
any,any,any,any,DET,True,True
indigenous,indigenous,indigenous,indigenous,ADJ,True,False
peoples,peoples,people,people,NOUN,True,False
but,but,but,but,CCONJ,True,True
rather,rather,rather,rather,ADV,True,True
infrequently,infrequently,infrequently,infrequently,ADV,True,False
refers,refers,refer,refer,VERB,True,False
to,to,to,to,ADP,True,True
them,them,-PRON-,-pron-,PRON,True,True
in,in,in,in,ADP,True,True
different,different,different,different,ADJ,True,False
contexts,contexts,context,context,NOUN,True,False
.,.,.,.,PUNCT,False,False
One,one,one,one,PRON,True,True
can,can,can,can,AUX,True,True
",",",",",",",",PUNCT,False,False
however,however,however,however,ADV,True,True
",",",",",",",",PUNCT,False,False
derive,derive,derive,derive,VERB,True,False
the,the,the,the,DET,True,True
development,development,development,development,NOUN,True,False
situation,situation,situation,situation,NOUN,True,False
of,of,of,of,ADP,True,True
indigenous,indigenous,indigenous,indigenous,ADJ,True,False
peoples,peoples,people,people,NOUN,True,False
in,in,in,in,ADP,True,True
the,the,the,the,DET,True,True
context,context,context,context,NOUN,True,False
of,of,of,of,ADP,True,True
the,the,the,the,DET,True,True
MDGs,mdgs,MDGs,mdgs,PROPN,True,False
",",",",",",",",PUNCT,False,False
based,based,base,base,VERB,True,False
on,on,on,on,ADP,True,True
the,the,the,the,DET,True,True
geographical,geographical,geographical,geographical,ADJ,True,False
analyses,analyses,analysis,analysis,NOUN,True,False
and,and,and,and,CCONJ,True,True
dissections,dissections,dissection,dissection,NOUN,True,False
the,the,the,the,DET,True,True
Report,report,Report,report,PROPN,True,False
provides,provides,provide,provide,VERB,True,False
.,.,.,.,PUNCT,False,False
 , , , ,SPACE,False,False
There,there,there,there,PRON,True,True
are,are,be,be,AUX,True,True
no,no,no,no,DET,True,True
national,national,national,national,ADJ,True,False
data,data,datum,datum,NOUN,True,False
provided,provided,provide,provide,VERB,True,False
in,in,in,in,ADP,True,True
the,the,the,the,DET,True,True
Report,report,Report,report,PROPN,True,False
;,;,;,;,PUNCT,False,False
therefore,therefore,therefore,therefore,ADV,True,True
",",",",",",",",PUNCT,False,False
the,the,the,the,DET,True,True
state,state,state,state,NOUN,True,False
of,of,of,of,ADP,True,True
the,the,the,the,DET,True,True
following,following,follow,follow,VERB,True,False
key,key,key,key,ADJ,True,False
aspects,aspects,aspect,aspect,NOUN,True,False
of,of,of,of,ADP,True,True
human,human,human,human,ADJ,True,False
development,development,development,development,NOUN,True,False
in,in,in,in,ADP,True,True
Russia,russia,Russia,russia,PROPN,True,False
are,are,be,be,AUX,True,True
disaggregated,disaggregated,disaggregate,disaggregate,VERB,True,False
by,by,by,by,ADP,True,True
region,region,region,region,NOUN,True,False
:,:,:,:,PUNCT,False,False
  ,  ,  ,  ,SPACE,False,False
Income,income,income,income,NOUN,True,False
distribution,distribution,distribution,distribution,NOUN,True,False
and,and,and,and,CCONJ,True,True
poverty,poverty,poverty,poverty,NOUN,True,False
Official,official,official,official,ADJ,True,False
data,data,datum,datum,NOUN,True,False
suggests,suggests,suggest,suggest,VERB,True,False
